,Movie Title,Opening,Total Gross,% of Total,Theaters,Average per Theater,Date,Season Number,Release Year,Movie & Year,Season Name,budget,genres,id,imdb_id,original_language,original_title,popularity,production_companies,production_countries,release_date,revenue,runtime,title,vote_average,vote_count,Genre Ids,Genre Names,Company Ids,Company Names
659,Resident Evil: Extinction,23678580.0,50648679.0,46.8%,2828.0,8372.0,2007-09-21,4.0,2007.0,Resident Evil: Extinction (2007),Fall,45000000,"[{'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}, {'id': 878, 'name': 'Science Fiction'}]",7737,tt0432021,en,Resident Evil: Extinction,3.009134,"[{'name': 'Impact Pictures', 'id': 248}, {'name': 'Davis-Films', 'id': 342}, {'name': 'Constantin Film Produktion', 'id': 5755}, {'name': 'Resident Evil Productions', 'id': 58249}]","[{'iso_3166_1': 'AU', 'name': 'Australia'}, {'iso_3166_1': 'FR', 'name': 'France'}, {'iso_3166_1': 'DE', 'name': 'Germany'}, {'iso_3166_1': 'GB', 'name': 'United Kingdom'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2007-09-20 00:00:00,148412065,94.0,Resident Evil: Extinction,6.1,1308.0,27,Horror,248,Impact Pictures
660,Open Season,23624548.0,85105259.0,27.8%,3833.0,6163.0,2006-09-29,4.0,2006.0,Open Season (2006),Fall,85000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 16, 'name': 'Animation'}, {'id': 10751, 'name': 'Family'}]",7484,tt0400717,en,Open Season,11.744242,"[{'name': 'Sony Pictures Animation', 'id': 2251}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2006-09-29 00:00:00,197309027,83.0,Open Season,6.1,676.0,12,Adventure,2251,Sony Pictures Animation
661,Goosebumps,23618556.0,80080379.0,29.5%,3501.0,6746.0,2015-10-16,4.0,2015.0,Goosebumps (2015),Fall,58000000,"[{'id': 12, 'name': 'Adventure'}, {'id': 27, 'name': 'Horror'}, {'id': 35, 'name': 'Comedy'}]",257445,tt1051904,en,Goosebumps,12.365292,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Village Roadshow Pictures', 'id': 79}, {'name': 'Original Film', 'id': 333}, {'name': 'Sony Pictures Animation', 'id': 2251}, {'name': 'Sony Pictures Entertainment (SPE)', 'id': 7431}, {'name': 'Scholastic Entertainment', 'id': 30246}, {'name': 'LStar Capital', 'id': 34034}]","[{'iso_3166_1': 'AU', 'name': 'Australia'}, {'iso_3166_1': 'US', 'name': 'United States of America'}]",2015-08-05 00:00:00,158162788,103.0,Goosebumps,6.2,1022.0,12,Adventure,5,Columbia Pictures
662,The Boss,23586645.0,63285885.0,37.3%,3480.0,6777.0,2016-04-08,2.0,2016.0,The Boss (2016),Spring,29000000,"[{'id': 35, 'name': 'Comedy'}]",323676,tt2702724,en,The Boss,7.533146,"[{'name': 'Universal Pictures', 'id': 33}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2016-04-07 00:00:00,78636257,91.0,The Boss,5.5,441.0,35,Comedy,33,Universal Pictures
663,Dinner for Schmucks,23527839.0,73026337.0,32.2%,2911.0,8082.0,2010-07-30,3.0,2010.0,Dinner for Schmucks (2010),Summer,69000000,"[{'id': 35, 'name': 'Comedy'}]",38778,tt0427152,en,Dinner for Schmucks,11.623718,"[{'name': 'Paramount Pictures', 'id': 4}, {'name': 'DreamWorks SKG', 'id': 27}, {'name': 'Spyglass Entertainment', 'id': 158}, {'name': 'Everyman Pictures', 'id': 2242}, {'name': 'Reliance BIG Entertainment', 'id': 6733}, {'name': 'Parkes/MacDonald Productions', 'id': 11084}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2010-07-30 00:00:00,86387857,114.0,Dinner for Schmucks,5.5,542.0,35,Comedy,4,Paramount Pictures
664,Dracula Untold,23514615.0,56280355.0,41.8%,2885.0,8150.0,2014-10-10,4.0,2014.0,Dracula Untold (2014),Fall,70000000,"[{'id': 27, 'name': 'Horror'}, {'id': 28, 'name': 'Action'}, {'id': 18, 'name': 'Drama'}, {'id': 14, 'name': 'Fantasy'}, {'id': 10752, 'name': 'War'}]",49017,tt0829150,en,Dracula Untold,16.316318,"[{'name': 'Universal Pictures', 'id': 33}, {'name': 'Legendary Pictures', 'id': 923}, {'name': 'Fuji Television Network', 'id': 3341}, {'name': 'Dentsu', 'id': 6452}, {'name': 'Michael De Luca Productions', 'id': 27551}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2014-10-01 00:00:00,215529201,92.0,Dracula Untold,6.2,2439.0,27,Horror,33,Universal Pictures
665,The Amityville Horror,23507007.0,65233369.0,36%,3323.0,7074.0,2005-04-15,2.0,2005.0,The Amityville Horror (2005),Spring,19000000,"[{'id': 27, 'name': 'Horror'}, {'id': 53, 'name': 'Thriller'}, {'id': 18, 'name': 'Drama'}]",10065,tt0384806,en,The Amityville Horror,13.088552,"[{'name': 'Platinum Dunes', 'id': 2481}, {'name': 'Dimension Films', 'id': 7405}, {'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}, {'name': 'Radar Pictures', 'id': 14718}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2005-04-15 00:00:00,108047131,90.0,The Amityville Horror,6.0,606.0,27,Horror,2481,Platinum Dunes
666,Be Cool,23450212.0,56046979.0,41.8%,3216.0,7291.0,2005-03-04,2.0,2005.0,Be Cool (2005),Spring,53000000,"[{'id': 35, 'name': 'Comedy'}, {'id': 80, 'name': 'Crime'}]",4551,tt0377471,en,Be Cool,13.314233,"[{'name': 'Double Feature Films', 'id': 215}, {'name': 'Jersey Films', 'id': 216}, {'name': 'Nina Saxon Film Design', 'id': 1693}, {'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2005-03-04 00:00:00,95226116,118.0,Be Cool,5.4,296.0,35,Comedy,215,Double Feature Films
667,Save the Last Dance,23444930.0,91057006.0,25.8%,2230.0,10513.0,2001-01-12,1.0,2001.0,Save the Last Dance (2001),Winter,13000000,"[{'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 10749, 'name': 'Romance'}, {'id': 10402, 'name': 'Music'}]",9816,tt0206275,en,Save the Last Dance,4.794088,"[{'name': 'MTV Films', 'id': 746}, {'name': 'Cort/Madden Productions', 'id': 53673}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2001-01-12 00:00:00,91038276,112.0,Save the Last Dance,6.3,359.0,18,Drama,746,MTV Films
668,Once Upon a Time in Mexico,23424118.0,56359780.0,41.6%,3282.0,7137.0,2003-09-12,4.0,2003.0,Once Upon a Time in Mexico (2003),Fall,29000000,"[{'id': 28, 'name': 'Action'}]",1428,tt0285823,en,Once Upon a Time in Mexico,8.843365,"[{'name': 'Columbia Pictures Corporation', 'id': 441}, {'name': 'Dimension Films', 'id': 7405}, {'name': 'Troublemaker Studios', 'id': 10807}]","[{'iso_3166_1': 'US', 'name': 'United States of America'}]",2003-09-11 00:00:00,98185582,102.0,Once Upon a Time in Mexico,6.2,605.0,28,Action,441,Columbia Pictures Corporation
