,Movie Title,Opening,Total Gross,% of Total,Theaters,Average per Theater,Date,Season Number,Release Year,Movie & Year,Season Name
462,Cloudy With a Chance of Meatballs 2,34017930,119793567,28.4%,4001,8502,2013-09-27,4,2013,Cloudy With a Chance of Meatballs 2 (2013),Fall
463,Get Hard,33803253,90411453,37.4%,3175,10646,2015-03-27,2,2015,Get Hard (2015),Spring
464,The Devil Inside,33732515,53261944,63.3%,2285,14762,2012-01-06,1,2012,The Devil Inside (2012),Winter
465,Think Like a Man,33636303,91547205,36.7%,2015,16692,2012-04-20,2,2012,Think Like a Man (2012),Spring
466,The Proposal,33627598,163958031,20.5%,3056,11003,2009-06-19,3,2009,The Proposal (2009),Summer
467,What Women Want,33614543,182811707,18.4%,3012,11160,2000-12-15,1,2000,What Women Want (2000),Winter
468,Saw III,33610391,80238724,41.9%,3167,10612,2006-10-27,4,2006,Saw III (2006),Fall
469,Epic,33531068,107518682,31.2%,3882,8637,2013-05-24,2,2013,Epic (2013),Spring
470,The Green Hornet,33526876,98780042,33.9%,3584,9354,2011-01-14,1,2011,The Green Hornet (2011),Winter
471,Ted 2,33507870,81476385,41.1%,3442,9735,2015-06-26,3,2015,Ted 2 (2015),Summer
472,101 Dalmatians,33504025,136189294,24.6%,2794,11991,1996-11-27,4,1996,101 Dalmatians (1996),Fall
473,Wrath of the Titans,33457188,83670083,40%,3545,9437,2012-03-30,2,2012,Wrath of the Titans (2012),Spring
474,The Haunting,33435140,91411151,36.6%,2808,11907,1999-07-23,3,1999,The Haunting (1999),Summer
475,Get Out,33377060,176040665,19%,2781,12001,2017-02-24,1,2017,Get Out (2017),Winter
476,Live Free or Die Hard,33369559,134529403,24.8%,3408,9791,2007-06-27,3,2007,Live Free or Die Hard (2007),Summer
477,American Wedding,33369440,104565114,31.9%,3172,10520,2003-08-01,3,2003,American Wedding (2003),Summer
478,Lethal Weapon 3,33243086,144731527,23%,2510,13244,1992-05-15,2,1992,Lethal Weapon 3 (1992),Spring
