,Movie Title,Opening,Total Gross,% of Total,Theaters,Average per Theater,Date,Season Number,Release Year,Movie & Year,Season Name
716,Tyler Perry's Madea's Big Happy Family,25068677,53345287,47%,2288,10956,2011-04-22,2,2011,Tyler Perry's Madea's Big Happy Family (2011),Spring
717,Dr. Dolittle 2,25037039,112952899,22.2%,3049,8211,2001-06-22,3,2001,Dr. Dolittle 2 (2001),Summer
718,Vanilla Sky,25015518,100618344,24.9%,2742,9123,2001-12-14,1,2001,Vanilla Sky (2001),Winter
719,Peter Rabbit,25010928,115253424,21.7%,3725,6714,2018-02-09,1,2018,Peter Rabbit (2018),Winter
720,Jack and Jill,25003575,74158157,33.7%,3438,7272,2011-11-11,4,2011,Jack and Jill (2011),Fall
721,Skyscraper,24905015,68420120,36.4%,3782,6585,2018-07-13,3,2018,Skyscraper (2018),Summer
722,Flight,24900566,93772375,26.6%,1884,13216,2012-11-02,4,2012,Flight (2012),Fall
723,White House Down,24852258,73103784,34%,3222,7713,2013-06-28,3,2013,White House Down (2013),Summer
724,A Good Day to Die Hard,24834845,67349198,36.9%,3553,6989,2013-02-14,1,2013,A Good Day to Die Hard (2013),Winter
725,True Grit,24830443,171243005,14.5%,3047,8149,2010-12-22,1,2010,True Grit (2010),Winter
726,The Call of the Wild,24791624,62342368,39.8%,3752,6607,2020-02-21,1,2020,The Call of the Wild (2020),Winter
727,The Other Woman,24763752,83911193,29.5%,3205,7726,2014-04-25,2,2014,The Other Woman (2014),Spring
728,Predators,24760882,52000688,47.6%,2669,9277,2010-07-09,3,2010,Predators (2010),Summer
729,Zombieland,24733155,75590286,32.7%,3036,8146,2009-10-02,4,2009,Zombieland (2009),Fall
730,10 Cloverfield Lane,24727437,72082998,34.3%,3391,7292,2016-03-11,2,2016,10 Cloverfield Lane (2016),Spring
731,Taken,24717037,145000989,17%,3183,7765,2009-01-30,1,2009,Taken (2009),Winter
732,The Accountant,24710273,86260045,28.6%,3332,7416,2016-10-14,4,2016,The Accountant (2016),Fall
733,Collateral,24701458,101005703,24.5%,3188,7748,2004-08-06,3,2004,Collateral (2004),Summer
734,Congo,24642539,81022101,30.4%,2649,9302,1995-06-09,3,1995,Congo (1995),Summer
735,Lee Daniels' The Butler,24637312,116632095,21.1%,2933,8400,2013-08-16,3,2013,Lee Daniels' The Butler (2013),Summer
736,The Predator,24632284,51024708,48.3%,4037,6101,2018-09-14,4,2018,The Predator (2018),Fall
737,Flightplan,24629938,89707299,27.5%,3424,7193,2005-09-23,4,2005,Flightplan (2005),Fall
738,Knowing,24604751,79957634,30.8%,3332,7384,2009-03-20,2,2009,Knowing (2009),Spring
739,Christopher Robin,24585139,99215042,24.8%,3602,6825,2018-08-03,3,2018,Christopher Robin (2018),Summer
740,Eraser,24566446,101295562,24.2%,2410,10193,1996-06-21,3,1996,Eraser (1996),Summer
741,The Girl on the Train,24536265,75395035,32.5%,3144,7804,2016-10-07,4,2016,The Girl on the Train (2016),Fall
742,The Emoji Movie,24531923,86089513,28.5%,4075,6020,2017-07-28,3,2017,The Emoji Movie (2017),Summer
743,Pet Sematary,24502775,54724696,44.8%,3585,6834,2019-04-05,2,2019,Pet Sematary (2019),Spring
744,Act of Valor,24476632,70012847,35%,3039,8054,2012-02-24,1,2012,Act of Valor (2012),Winter
745,Forrest Gump,24450602,329694499,7.4%,1595,15329,1994-07-06,3,1994,Forrest Gump (1994),Summer
746,Mean Girls,24432195,86058055,28.4%,2839,8605,2004-04-30,2,2004,Mean Girls (2004),Spring
747,Failure to Launch,24411322,88715192,27.5%,3057,7985,2006-03-10,2,2006,Failure to Launch (2006),Spring
748,Race to Witch Mountain,24402214,67172594,36.3%,3187,7656,2009-03-13,2,2009,Race to Witch Mountain (2009),Spring
749,Contraband,24349815,66528000,36.6%,2863,8505,2012-01-13,1,2012,Contraband (2012),Winter
750,The Chronicles of Riddick,24289165,57761012,42%,2757,8809,2004-06-11,3,2004,The Chronicles of Riddick (2004),Summer
751,The Haunted Mansion,24278410,75847266,32%,3122,7776,2003-11-26,4,2003,The Haunted Mansion (2003),Fall
752,The Last Samurai,24271354,111127263,21.8%,2908,8346,2003-12-05,1,2003,The Last Samurai (2003),Winter
753,TMNT,24255205,54149098,44.8%,3110,7799,2007-03-23,2,2007,TMNT (2007),Spring
754,No Good Deed,24250283,52543632,46.2%,2175,11149,2014-09-12,4,2014,No Good Deed (2014),Fall
755,Barbershop 2: Back in Business,24241612,65111277,37.2%,2711,8941,2004-02-06,1,2004,Barbershop 2: Back in Business (2004),Winter
756,"Me, Myself & Irene",24209385,90570999,26.7%,3019,8019,2000-06-23,3,2000,"Me, Myself & Irene (2000)",Summer
757,The Addams Family,24203754,113502426,21.3%,2411,10038,1991-11-22,4,1991,The Addams Family (1991),Fall
758,Coach Carter,24182961,67264877,36%,2524,9581,2005-01-14,1,2005,Coach Carter (2005),Winter
759,Maze Runner: The Death Cure,24167011,58032443,41.6%,3787,6381,2018-01-26,1,2018,Maze Runner: The Death Cure (2018),Winter
760,Warcraft,24166110,47365290,51%,3400,7107,2016-06-10,3,2016,Warcraft (2016),Summer
761,Con Air,24131738,101117573,23.9%,2824,8545,1997-06-06,3,1997,Con Air (1997),Summer
762,Exodus: Gods and Kings,24115934,65014513,37.1%,3503,6884,2014-12-12,1,2014,Exodus: Gods and Kings (2014),Winter
763,White Noise,24113565,56386759,42.8%,2261,10665,2005-01-07,1,2005,White Noise (2005),Winter
764,21,24105943,81159365,29.7%,2648,9103,2008-03-28,2,2008,21 (2008),Spring
765,Arrival,24074047,100546139,23.9%,2317,10390,2016-11-11,4,2016,Arrival (2016),Fall
766,Tower Heist,24025190,78046570,30.8%,3367,7135,2011-11-04,4,2011,Tower Heist (2011),Fall
767,Pixels,24011616,78747585,30.5%,3723,6449,2015-07-24,3,2015,Pixels (2015),Summer
768,The Chronicles of Narnia: The Voyage of the Dawn Treader,24005069,104386950,23%,3555,6752,2010-12-10,1,2010,The Chronicles of Narnia: The Voyage of the Dawn Treader (2010),Winter
769,Monster-in-Law,24000000,82931301,28.9%,3424,7009,2005-05-13,2,2005,Monster-in-Law (2005),Spring
770,The Fast and the Furious: Tokyo Drift,23973840,62514415,38.4%,3027,7920,2006-06-16,3,2006,The Fast and the Furious: Tokyo Drift (2006),Summer
771,Fahrenheit 9/11,23920637,119194771,20.1%,868,27558,2004-06-23,3,2004,Fahrenheit 9/11 (2004),Summer
772,Captain Underpants: The First Epic Movie,23851539,73921000,32.3%,3434,6945,2017-06-02,3,2017,Captain Underpants: The First Epic Movie (2017),Summer
773,Bad Moms,23817340,113257297,21%,3215,7408,2016-07-29,3,2016,Bad Moms (2016),Summer
774,The Town,23808032,92186262,25.8%,2861,8321,2010-09-17,4,2010,The Town (2010),Fall
775,How to Lose a Guy in 10 Days,23774850,105813373,22.5%,2923,8133,2003-02-07,1,2003,How to Lose a Guy in 10 Days (2003),Winter
776,Rise of the Guardians,23773465,103412758,23%,3653,6507,2012-11-21,4,2012,Rise of the Guardians (2012),Fall
777,Paul Blart: Mall Cop 2,23762435,71038190,33.4%,3633,6540,2015-04-17,2,2015,Paul Blart: Mall Cop 2 (2015),Spring
778,The Fugitive,23758855,183875760,12.9%,2340,10153,1993-08-06,3,1993,The Fugitive (1993),Summer
779,Diary of a Wimpy Kid: Rodrick Rules,23751502,52698535,45.1%,3167,7499,2011-03-25,2,2011,Diary of a Wimpy Kid: Rodrick Rules (2011),Spring
780,17 Again,23722310,64167069,37%,3255,7287,2009-04-17,2,2009,17 Again (2009),Spring
781,Fury,23702421,85817906,27.6%,3173,7470,2014-10-17,4,2014,Fury (2014),Fall
782,Resident Evil: Extinction,23678580,50648679,46.8%,2828,8372,2007-09-21,4,2007,Resident Evil: Extinction (2007),Fall
783,Tomb Raider,23633317,58250803,40.6%,3854,6132,2018-03-16,2,2018,Tomb Raider (2018),Spring
784,Open Season,23624548,85105259,27.8%,3833,6163,2006-09-29,4,2006,Open Season (2006),Fall
785,Goosebumps,23618556,80080379,29.5%,3501,6746,2015-10-16,4,2015,Goosebumps (2015),Fall
786,The Boss,23586645,63285885,37.3%,3480,6777,2016-04-08,2,2016,The Boss (2016),Spring
787,Dinner for Schmucks,23527839,73026337,32.2%,2911,8082,2010-07-30,3,2010,Dinner for Schmucks (2010),Summer
788,Mary Poppins Returns,23523121,171958438,13.7%,4090,5751,2018-12-19,1,2018,Mary Poppins Returns (2018),Winter
789,Dracula Untold,23514615,56280355,41.8%,2885,8150,2014-10-10,4,2014,Dracula Untold (2014),Fall
790,The Amityville Horror,23507007,65233369,36%,3323,7074,2005-04-15,2,2005,The Amityville Horror (2005),Spring
791,Be Cool,23450212,56046979,41.8%,3216,7291,2005-03-04,2,2005,Be Cool (2005),Spring
792,I Can Do Bad All by Myself,23446785,51733921,45.3%,2255,10397,2009-09-11,4,2009,I Can Do Bad All by Myself (2009),Fall
793,Save the Last Dance,23444930,91057006,25.8%,2230,10513,2001-01-12,1,2001,Save the Last Dance (2001),Winter
794,Once Upon a Time in Mexico,23424118,56359780,41.6%,3282,7137,2003-09-12,4,2003,Once Upon a Time in Mexico (2003),Fall
795,Face/Off,23387530,112276146,20.8%,2621,8923,1997-06-27,3,1997,Face/Off (1997),Summer
796,The Taking of Pelham 123,23373102,65452312,35.7%,3074,7603,2009-06-12,3,2009,The Taking of Pelham 123 (2009),Summer
797,The Polar Express,23323463,162775358,14.3%,3650,6389,2004-11-10,4,2004,The Polar Express (2004),Fall
798,Mortal Kombat,23283887,70454098,33%,2421,9617,1995-08-18,3,1995,Mortal Kombat (1995),Summer
799,Pineapple Express,23245025,87341380,26.6%,3072,7566,2008-08-06,3,2008,Pineapple Express (2008),Summer
800,Alvin and the Chipmunks: Chipwrecked,23244744,133110742,17.5%,3723,6243,2011-12-16,1,2011,Alvin and the Chipmunks: Chipwrecked (2011),Winter
801,Eragon,23239907,75030163,31%,3020,7695,2006-12-15,1,2006,Eragon (2006),Winter
802,This Is It,23234394,72091016,32.2%,3481,6674,2009-10-28,4,2009,This Is It (2009),Fall
803,Hellboy,23172440,59623958,38.9%,3028,7652,2004-04-02,2,2004,Hellboy (2004),Spring
804,Double Jeopardy,23162542,116741558,19.8%,2547,9094,1999-09-24,4,1999,Double Jeopardy (1999),Fall
805,The Mask,23117068,119938730,19.3%,2360,9795,1994-07-29,3,1994,The Mask (1994),Summer
806,Star Trek: Generations,23116394,75671125,30.6%,2659,8693,1994-11-18,4,1994,Star Trek: Generations (1994),Fall
807,Eat Pray Love,23104523,80574010,28.7%,3082,7496,2010-08-13,3,2010,Eat Pray Love (2010),Summer
808,The League of Extraordinary Gentlemen,23075892,66465204,34.7%,3002,7686,2003-07-11,3,2003,The League of Extraordinary Gentlemen (2003),Summer
809,Smallfoot,23045635,83240103,27.7%,4131,5578,2018-09-28,4,2018,Smallfoot (2018),Fall
810,Resident Evil: Apocalypse,23036273,51201453,45%,3284,7014,2004-09-10,4,2004,Resident Evil: Apocalypse (2004),Fall
811,Star Wars: Episode VI - Return of the Jedi,23019618,252583617,9.1%,1002,22973,1983-05-25,2,1983,Star Wars: Episode VI - Return of the Jedi (1983),Spring
812,27 Dresses,23007725,76808654,30%,3057,7526,2008-01-18,1,2008,27 Dresses (2008),Winter
813,The Haunting in Connecticut,23004765,55389516,41.5%,2732,8420,2009-03-27,2,2009,The Haunting in Connecticut (2009),Spring
814,The Princess Diaries 2: Royal Engagement,22956453,95170481,24.1%,3472,6611,2004-08-11,3,2004,The Princess Diaries 2: Royal Engagement (2004),Summer
815,The Game Plan,22950971,90648202,25.3%,3103,7396,2007-09-28,4,2007,The Game Plan (2007),Fall
816,Vantage Point,22874936,72266306,31.6%,3149,7264,2008-02-22,1,2008,Vantage Point (2008),Winter
817,Jack Reacher: Never Go Back,22872490,58697076,39%,3780,6050,2016-10-21,4,2016,Jack Reacher: Never Go Back (2016),Fall
818,The Princess Diaries,22862269,108248956,21.1%,2537,9011,2001-08-03,3,2001,The Princess Diaries (2001),Summer
819,Mission to Mars,22855247,60883407,37.5%,3054,7483,2000-03-10,2,2000,Mission to Mars (2000),Spring
820,The Interpreter,22822455,72708161,31.4%,2758,8275,2005-04-22,2,2005,The Interpreter (2005),Spring
821,Jackass: The Movie,22763437,64255312,35.4%,2509,9072,2002-10-25,4,2002,Jackass: The Movie (2002),Fall
822,Man on Fire,22751490,77911774,29.2%,2980,7634,2004-04-21,2,2004,Man on Fire (2004),Spring
823,Mulan,22745143,120620254,18.9%,2888,7875,1998-06-19,3,1998,Mulan (1998),Summer
824,Rugrats in Paris: The Movie,22718184,76507756,29.7%,2934,7743,2000-11-17,4,2000,Rugrats in Paris: The Movie (2000),Fall
825,Insidious: Chapter 3,22692741,52218558,43.5%,3002,7559,2015-06-05,3,2015,Insidious: Chapter 3 (2015),Summer
826,Unstoppable,22688457,81562942,27.8%,3207,7074,2010-11-12,4,2010,Unstoppable (2010),Fall
827,Funny People,22657780,51855045,43.7%,3007,7535,2009-07-31,3,2009,Funny People (2009),Summer
828,Black Mass,22635037,62575678,36.2%,3188,7100,2015-09-18,4,2015,Black Mass (2015),Fall
829,Poltergeist,22620386,47425125,47.7%,3240,6981,2015-05-22,2,2015,Poltergeist (2015),Spring
830,The Time Machine,22610437,56832494,39.8%,2944,7680,2002-03-08,2,2002,The Time Machine (2002),Spring
831,Bridge to Terabithia,22564612,82272442,27.4%,3139,7188,2007-02-16,1,2007,Bridge to Terabithia (2007),Winter
832,Training Day,22550788,76631907,29.4%,2712,8315,2001-10-05,4,2001,Training Day (2001),Fall
833,Dick Tracy,22543911,103738726,21.7%,2332,9667,1990-06-15,3,1990,Dick Tracy (1990),Summer
834,Saw: The Final Chapter,22530123,45710178,49.3%,2808,8023,2010-10-29,4,2010,Saw: The Final Chapter (2010),Fall
835,The Mask of Zorro,22525855,94095523,23.9%,2515,8956,1998-07-17,3,1998,The Mask of Zorro (1998),Summer
836,Heaven Is for Real,22522221,91443253,24.6%,2417,9318,2014-04-16,2,2014,Heaven Is for Real (2014),Spring
837,The Lucky One,22518358,60457138,37.2%,3155,7137,2012-04-20,2,2012,The Lucky One (2012),Spring
838,Shallow Hal,22518295,70839203,31.8%,2770,8129,2001-11-09,4,2001,Shallow Hal (2001),Fall
839,Star Wars: Episode I - The Phantom Menace,22469932,43456382,51.7%,2655,8463,2012-02-10,1,2012,Star Wars: Episode I - The Phantom Menace (2012),Winter
840,Life of Pi,22451514,124987023,18%,2927,7670,2012-11-21,4,2012,Life of Pi (2012),Fall
841,The Social Network,22445653,96962694,23.2%,2771,8100,2010-10-01,4,2010,The Social Network (2010),Fall
842,The Patriot,22413710,113330342,19.8%,3061,7322,2000-06-28,3,2000,The Patriot (2000),Summer
843,Contagion,22403596,75658097,29.6%,3222,6953,2011-09-09,4,2011,Contagion (2011),Fall
844,Now You See Me 2,22383146,65075540,34.4%,3232,6925,2016-06-10,3,2016,Now You See Me 2 (2016),Summer
845,Walk the Line,22347341,119519402,18.7%,2961,7547,2005-11-18,4,2005,Walk the Line (2005),Fall
846,The General's Daughter,22332053,102705852,21.7%,2856,7819,1999-06-18,3,1999,The General's Daughter (1999),Summer
847,Planes,22232291,90288712,24.6%,3702,6005,2013-08-09,3,2013,Planes (2013),Summer
848,Disturbia,22224982,80209692,27.7%,2925,7598,2007-04-13,2,2007,Disturbia (2007),Spring
849,Legally Blonde 2,22220670,90186328,24.6%,3350,6633,2003-07-02,3,2003,Legally Blonde 2 (2003),Summer
850,Monster House,22217226,73661010,30.2%,3553,6253,2006-07-21,3,2006,Monster House (2006),Summer
851,Freaky Friday,22203007,110230332,20.1%,2954,7516,2003-08-06,3,2003,Freaky Friday (2003),Summer
852,Kill Bill: Vol. 1,22200000,70099045,31.7%,3102,7156,2003-10-10,4,2003,Kill Bill: Vol. 1 (2003),Fall
853,Die Hard with a Vengeance,22162245,100012499,22.2%,2525,8777,1995-05-19,2,1995,Die Hard with a Vengeance (1995),Spring
854,Poseidon,22155410,60674817,36.5%,3555,6232,2006-05-12,2,2006,Poseidon (2006),Spring
855,Diary of a Wimpy Kid,22126166,64003625,34.6%,3077,7190,2010-03-19,2,2010,Diary of a Wimpy Kid (2010),Spring
856,Ghost Rider: Spirit of Vengeance,22115334,51774002,42.7%,3174,6967,2012-02-17,1,2012,Ghost Rider: Spirit of Vengeance (2012),Winter
857,It's Complicated,22100820,112735375,19.6%,2887,7655,2009-12-25,1,2009,It's Complicated (2009),Winter
858,Ladder 49,22088204,74541707,29.6%,3260,6775,2004-10-01,4,2004,Ladder 49 (2004),Fall
859,Road to Perdition,22079481,104454762,21.1%,1797,12286,2002-07-12,3,2002,Road to Perdition (2002),Summer
860,Starship Troopers,22058773,54814377,40.2%,2971,7424,1997-11-07,4,1997,Starship Troopers (1997),Fall
861,Star Trek: Insurrection,22052836,70187658,31.4%,2620,8417,1998-12-11,1,1998,Star Trek: Insurrection (1998),Winter
862,Chronicle,22004098,64575175,34.1%,2907,7569,2012-02-03,1,2012,Chronicle (2012),Winter
863,The Monuments Men,22003433,78031620,28.2%,3083,7137,2014-02-07,1,2014,The Monuments Men (2014),Winter
864,Star Wars: Episode V - The Empire Strikes Back,21975993,67597694,32.5%,2111,10410,1997-02-21,1,1997,Star Wars: Episode V - The Empire Strikes Back (1997),Winter
865,Hide and Seek,21959233,51100486,43%,3005,7307,2005-01-28,1,2005,Hide and Seek (2005),Winter
866,Diary of a Mad Black Woman,21905089,50633099,43.3%,1483,14770,2005-02-25,1,2005,Diary of a Mad Black Woman (2005),Winter
867,Inspector Gadget,21889138,97403112,22.5%,2814,7778,1999-07-23,3,1999,Inspector Gadget (1999),Summer
868,Unknown,21856389,63686397,34.3%,3043,7182,2011-02-18,1,2011,Unknown (2011),Winter
869,Dolittle,21844045,77047065,28.4%,4155,5257,2020-01-17,1,2020,Dolittle (2020),Winter
870,Stomp the Yard,21833312,61356221,35.6%,2051,10645,2007-01-12,1,2007,Stomp the Yard (2007),Winter
871,Notting Hill,21811180,116089678,18.8%,2747,7940,1999-05-28,2,1999,Notting Hill (1999),Spring
872,Lara Croft Tomb Raider: The Cradle of Life,21783641,65660196,33.2%,3222,6760,2003-07-25,3,2003,Lara Croft Tomb Raider: The Cradle of Life (2003),Summer
873,RED,21761408,90380162,24.1%,3255,6685,2010-10-15,4,2010,RED (2010),Fall
874,Neighbors 2: Sorority Rising,21760405,55455765,39.2%,3384,6430,2016-05-20,2,2016,Neighbors 2: Sorority Rising (2016),Spring
875,Underworld,21753759,51970690,41.9%,2915,7462,2003-09-19,4,2003,Underworld (2003),Fall
876,Die Hard 2,21744661,117540947,18.5%,2507,8673,1990-07-06,3,1990,Die Hard 2 (1990),Summer
877,Texas Chainsaw,21744470,34341945,63.3%,2654,8193,2013-01-04,1,2013,Texas Chainsaw (2013),Winter
878,Garfield,21727611,75369589,28.8%,3094,7022,2004-06-11,3,2004,Garfield (2004),Summer
879,Shaft,21714757,70334258,30.9%,2337,9291,2000-06-16,3,2000,Shaft (2000),Summer
880,Cats & Dogs,21707617,93385515,23.2%,3040,7140,2001-07-04,3,2001,Cats & Dogs (2001),Summer
881,Eyes Wide Shut,21706163,55691208,39%,2411,9002,1999-07-16,3,1999,Eyes Wide Shut (1999),Summer
882,Spy Game,21689125,62362560,34.8%,2770,7830,2001-11-21,4,2001,Spy Game (2001),Fall
883,Lights Out,21688103,67268835,32.2%,2818,7696,2016-07-22,3,2016,Lights Out (2016),Summer
884,RoboCop,21681430,58607007,37%,3372,6429,2014-02-12,1,2014,RoboCop (2014),Winter
885,My Best Friend's Wedding,21678377,127120029,17%,2134,10158,1997-06-20,3,1997,My Best Friend's Wedding (1997),Summer
886,Bumblebee,21654047,127195589,17%,3550,6099,2018-12-21,1,2018,Bumblebee (2018),Winter
887,Temptation: Confessions of a Marriage Counselor,21641679,51975354,41.6%,2047,10572,2013-03-29,2,2013,Temptation: Confessions of a Marriage Counselor (2013),Spring
888,London Has Fallen,21635601,62524260,34.6%,3490,6199,2016-03-04,2,2016,London Has Fallen (2016),Spring
889,Little Man,21613176,58645052,36.8%,2533,8532,2006-07-14,3,2006,Little Man (2006),Summer
890,When a Stranger Calls,21607203,47860214,45.2%,2999,7204,2006-02-03,1,2006,When a Stranger Calls (2006),Winter
891,Fool's Gold,21589295,70231041,30.7%,3125,6908,2008-02-08,1,2008,Fool's Gold (2008),Winter
892,Tammy,21577049,84525432,25.5%,3465,6227,2014-07-02,3,2014,Tammy (2014),Summer
893,Christmas with the Kranks,21570867,73780539,29.2%,3393,6357,2004-11-24,4,2004,Christmas with the Kranks (2004),Fall
894,"You, Me and Dupree",21525560,75628110,28.5%,3131,6874,2006-07-14,3,2006,"You, Me and Dupree (2006)",Summer
895,Pete's Dragon,21514095,76233151,28.2%,3702,5811,2016-08-12,3,2016,Pete's Dragon (2016),Summer
896,American Reunion,21514080,57011521,37.7%,3192,6740,2012-04-06,2,2012,American Reunion (2012),Spring
897,The 40-Year-Old Virgin,21422815,109449237,19.6%,2845,7529,2005-08-19,3,2005,The 40-Year-Old Virgin (2005),Summer
898,The Stepford Wives,21406781,59484742,36%,3057,7002,2004-06-11,3,2004,The Stepford Wives (2004),Summer
899,Good Boys,21402605,83140306,25.7%,3204,6679,2019-08-16,3,2019,Good Boys (2019),Summer
900,Safe Haven,21401594,71349120,30%,3223,6640,2013-02-14,1,2013,Safe Haven (2013),Winter
901,The Forbidden Kingdom,21401121,52075270,41.1%,3151,6791,2008-04-18,2,2008,The Forbidden Kingdom (2008),Spring
902,The Hitman's Bodyguard,21384504,75468583,28.3%,3377,6332,2017-08-18,3,2017,The Hitman's Bodyguard (2017),Summer
903,Angel Has Fallen,21380987,69030436,31%,3286,6506,2019-08-23,3,2019,Angel Has Fallen (2019),Summer
904,Ice Age: Collision Course,21373064,64063008,33.4%,3992,5353,2016-07-22,3,2016,Ice Age: Collision Course (2016),Summer
905,Why Did I Get Married?,21353789,55204525,38.7%,2011,10618,2007-10-12,4,2007,Why Did I Get Married? (2007),Fall
906,Turbo,21312625,83028128,25.7%,3806,5599,2013-07-17,3,2013,Turbo (2013),Summer
907,Storks,21311407,72679278,29.3%,3922,5433,2016-09-23,4,2016,Storks (2016),Fall
908,My Bloody Valentine,21241456,51545952,41.2%,2534,8382,2009-01-16,1,2009,My Bloody Valentine (2009),Winter
909,Happy Feet Two,21237068,64006466,33.2%,3606,5889,2011-11-18,4,2011,Happy Feet Two (2011),Fall
910,Boo 2! A Madea Halloween,21226953,47319572,44.9%,2388,8889,2017-10-20,4,2017,Boo 2! A Madea Halloween (2017),Fall
911,Payback,21221526,81526121,26%,2729,7776,1999-02-05,1,1999,Payback (1999),Winter
912,Four Brothers,21176925,74494381,28.4%,2533,8360,2005-08-12,3,2005,Four Brothers (2005),Summer
913,Waterworld,21171780,88246220,24%,2268,9335,1995-07-28,3,1995,Waterworld (1995),Summer
914,The Adjustment Bureau,21157730,62495645,33.8%,2840,7449,2011-03-04,2,2011,The Adjustment Bureau (2011),Spring
915,The Hitchhiker's Guide to the Galaxy,21103203,51085416,41.3%,3133,6735,2005-04-29,2,2005,The Hitchhiker's Guide to the Galaxy (2005),Spring
916,Bride Wars,21058173,58715510,35.9%,3226,6527,2009-01-09,1,2009,Bride Wars (2009),Winter
917,13 Going on 30,21054283,57231747,36.8%,3438,6123,2004-04-23,2,2004,13 Going on 30 (2004),Spring
918,Resident Evil: Retribution,21052227,42345531,49.7%,3012,6989,2012-09-14,4,2012,Resident Evil: Retribution (2012),Fall
919,Project X,21051363,54731865,38.5%,3055,6890,2012-03-02,2,2012,Project X (2012),Spring
920,Law Abiding Citizen,21039502,73357727,28.7%,2890,7280,2009-10-16,4,2009,Law Abiding Citizen (2009),Fall
921,The Hunchback of Notre Dame,21037414,100138851,21%,2778,7572,1996-06-21,3,1996,The Hunchback of Notre Dame (1996),Summer
922,Valkyrie,21027007,83077833,25.3%,2711,7756,2008-12-25,1,2008,Valkyrie (2008),Winter
923,The Forgotten,21022111,67133509,31.3%,3104,6772,2004-09-24,4,2004,The Forgotten (2004),Fall
924,Journey to the Center of the Earth,21018141,101704370,20.7%,2811,7477,2008-07-11,3,2008,Journey to the Center of the Earth (2008),Summer
925,The Strangers,20997985,52597610,39.9%,2466,8514,2008-05-30,2,2008,The Strangers (2008),Spring
926,Insomnia,20930169,67355513,31.1%,2610,8019,2002-05-24,2,2002,Insomnia (2002),Spring
927,Scary Stories to Tell in the Dark,20915346,68947075,30.3%,3135,6671,2019-08-09,3,2019,Scary Stories to Tell in the Dark (2019),Summer
928,Remember the Titans,20905831,115654751,18.1%,1865,11209,2000-09-29,4,2000,Remember the Titans (2000),Fall
929,The Woman in Black,20874072,54333290,38.4%,2855,7311,2012-02-03,1,2012,The Woman in Black (2012),Winter
930,Seabiscuit,20854735,120277854,17.3%,1989,10485,2003-07-25,3,2003,Seabiscuit (2003),Summer
931,Underworld: Rise of the Lycans,20828511,45802315,45.5%,2942,7079,2009-01-23,1,2009,Underworld: Rise of the Lycans (2009),Winter
932,The Grudge 2,20825300,39143839,53.2%,3211,6485,2006-10-13,4,2006,The Grudge 2 (2006),Fall
933,The Naked Gun 2½: The Smell of Fear,20817139,86930411,24%,2378,8754,1991-06-28,3,1991,The Naked Gun 2½: The Smell of Fear (1991),Summer
934,Prisoners,20817053,61002302,34.1%,3260,6385,2013-09-20,4,2013,Prisoners (2013),Fall
935,Prom Night,20804941,43869350,47.4%,2700,7705,2008-04-11,2,2008,Prom Night (2008),Spring
936,Looper,20801552,66486205,31.3%,2992,6952,2012-09-28,4,2012,Looper (2012),Fall
937,This Is the End,20719162,101470202,20.4%,3055,6782,2013-06-12,3,2013,This Is the End (2013),Summer
938,The Bounty Hunter,20686423,67061228,30.8%,3074,6729,2010-03-19,2,2010,The Bounty Hunter (2010),Spring
939,Guess Who,20671446,68915888,30%,3147,6568,2005-03-25,2,2005,Guess Who (2005),Spring
940,Step Up,20659573,65328121,31.6%,2467,8374,2006-08-11,3,2006,Step Up (2006),Summer
941,The Wedding Ringer,20649306,64460211,32%,3003,6876,2015-01-16,1,2015,The Wedding Ringer (2015),Winter
942,Barbershop,20627433,75782105,27.2%,1605,12851,2002-09-13,4,2002,Barbershop (2002),Fall
943,1408,20617667,71985628,28.6%,2678,7698,2007-06-22,3,2007,1408 (2007),Summer
944,Abominable,20612100,60716390,34%,4242,4859,2019-09-27,4,2019,Abominable (2019),Fall
945,Contact,20584908,100920329,20.4%,1923,10704,1997-07-11,3,1997,Contact (1997),Summer
946,Deja Vu,20574802,64038616,32.1%,3108,6619,2006-11-22,4,2006,Deja Vu (2006),Fall
947,Blockers,20556350,60311495,34.1%,3379,6083,2018-04-06,2,2018,Blockers (2018),Spring
948,Baby Driver,20553320,107825862,19.1%,3226,6371,2017-06-28,3,2017,Baby Driver (2017),Summer
949,Gemini Man,20552372,48546770,42.3%,3642,5643,2019-10-11,4,2019,Gemini Man (2019),Fall
950,End of Days,20523595,66889043,30.7%,2593,7915,1999-11-24,4,1999,End of Days (1999),Fall
951,Takers,20512304,57744720,35.5%,2206,9298,2010-08-27,3,2010,Takers (2010),Summer
952,Scary Movie 2,20503356,71308997,28.8%,3220,6367,2001-07-04,3,2001,Scary Movie 2 (2001),Summer
953,Notorious,20497596,36843682,55.6%,1638,12513,2009-01-16,1,2009,Notorious (2009),Winter
954,Mrs. Doubtfire,20468847,219195243,9.3%,1605,12753,1993-11-24,4,1993,Mrs. Doubtfire (1993),Fall
955,The Lego Ninjago Movie,20433071,59281555,34.5%,4047,5048,2017-09-22,4,2017,The Lego Ninjago Movie (2017),Fall
956,Life,20414775,64016268,31.9%,2594,7869,1999-04-16,2,1999,Life (1999),Spring
